draft_name,document_found,recorded_group_name,recorded_group_acronym,recorded_group_type,is_recorded_wg,is_individual_submissions,filename_wg_candidates
draft-shi-p2psip-hier-arch,1,Individual Submissions,none,individ,0,1,p2psip
draft-shi-quic-dtp,1,Individual Submissions,none,individ,0,1,quic
draft-shi-quic-structured-connection-id,1,Individual Submissions,none,individ,0,1,quic
draft-shi-savi-access,1,Individual Submissions,none,individ,0,1,savi
draft-shi-scone-rtc-requirement,1,Individual Submissions,none,individ,0,1,scone
draft-shi-sidrops-rpki-on-demand,1,Individual Submissions,none,individ,0,1,sidrops
draft-shi-v6ops-caba,1,Individual Submissions,none,individ,0,1,v6ops
draft-shiba-ccamp-gmpls-lambda-labels,1,Individual Submissions,none,individ,0,1,ccamp
draft-shieh-rtcweb-ip-handling,1,Real-Time Communication in WEB-browsers,rtcweb,wg,1,0,rtcweb
draft-shield-eos-capabilities,1,Individual Submissions,none,individ,0,1,eos
draft-shield-eos-extended-error,1,Individual Submissions,none,individ,0,1,eos
draft-shigeru-simple-heuristic-wlan-handover,1,Individual Submissions,none,individ,0,1,simple
draft-shigeru-wlan-handover-management,1,Individual Submissions,none,individ,0,1,
draft-shih-imap-server-logout,1,Individual Submissions,none,individ,0,1,imap
draft-shim-capp,1,Individual Submissions,none,individ,0,1,
draft-shim-dna-proactive,1,Individual Submissions,none,individ,0,1,dna
draft-shim-mobileip-neighbor,1,Individual Submissions,none,individ,0,1,mobileip
draft-shim-sipping-p2p-arch,1,Individual Submissions,none,individ,0,1,sipping
draft-shim-sipping-scl,1,Individual Submissions,none,individ,0,1,sipping
draft-shima-cloud-net-portability-reqs-and-models,1,Individual Submissions,none,individ,0,1,
draft-shima-clouds-net-portability-reqs-and-models,1,Individual Submissions,none,individ,0,1,
draft-shima-ipsec-isakmp-cke-type,1,Individual Submissions,none,individ,0,1,ipsec
draft-shima-mip6-rohints,1,Individual Submissions,none,individ,0,1,mip6
draft-shima-nemo-v4prefix,1,Individual Submissions,none,individ,0,1,nemo
draft-shimano-ccamp-extra-lsp,1,Individual Submissions,none,individ,0,1,ccamp;extra
draft-shimano-imajuku-gmpls-restoration,1,Individual Submissions,none,individ,0,1,
draft-shimaoka-multidomain-pki,1,Security Area,sec,area,0,0,
draft-shimazaki-ccamp-wson-interoperability,1,Individual Submissions,none,individ,0,1,ccamp
draft-shimin-opsawg-snmp-backuprestore-mib,1,Individual Submissions,none,individ,0,1,opsawg;snmp
draft-shimin-opsawg-snmp-errorstatusmib,1,Individual Submissions,none,individ,0,1,opsawg;snmp
draft-shimizu-mapos-asap,1,Individual Submissions,none,individ,0,1,asap
draft-shimizu-mapos-proreq-extensions,1,Individual Submissions,none,individ,0,1,
draft-shimizu-ppp-mapos,1,Individual Submissions,none,individ,0,1,ppp
draft-shin-16ng-ipv6-transmission,1,Individual Submissions,none,individ,0,1,16ng;ipv6
draft-shin-6lowpan-mobility,1,Individual Submissions,none,individ,0,1,6lowpan
draft-shin-actn-mvno-multi-domain,1,Individual Submissions,none,individ,0,1,
draft-shin-augmented-pake,1,Security Area,sec,area,0,0,
draft-shin-avtcore-rtp-multi-opus,1,Audio/Video Transport Core Maintenance,avtcore,wg,1,0,avtcore
draft-shin-cdni-request-routing-sdn,1,Individual Submissions,none,individ,0,1,cdni
draft-shin-dhc-dhcpv6-opt-ipv4-prefix,1,Individual Submissions,none,individ,0,1,dhc
draft-shin-dnsop-self-termination,1,Individual Submissions,none,individ,0,1,dnsop
draft-shin-dstm-ports,1,Individual Submissions,none,individ,0,1,
draft-shin-dstm-single-ipv4,1,Individual Submissions,none,individ,0,1,
draft-shin-enum-emib,1,Individual Submissions,none,individ,0,1,enum
draft-shin-i2rs-usecases-cdni-request-routing,1,Individual Submissions,none,individ,0,1,cdni;i2rs
draft-shin-ipv6-ieee802.16,1,Individual Submissions,none,individ,0,1,ipv6
draft-shin-magma-mzmp,1,Individual Submissions,none,individ,0,1,magma
draft-shin-mapping-rtppt,1,Individual Submissions,none,individ,0,1,
draft-shin-nfvrg-service-verification,1,Network Function Virtualization,nfvrg,rg,0,0,
draft-shin-ngtrans-application-transition,1,Individual Submissions,none,individ,0,1,ngtrans
draft-shin-ngtrans-dstm-ports,1,Individual Submissions,none,individ,0,1,ngtrans
draft-shin-pki4ipsec-ixc,1,Individual Submissions,none,individ,0,1,pki4ipsec
draft-shin-sdn-formal-specification,1,Individual Submissions,none,individ,0,1,
draft-shin-sdnrg-formal-verification,1,Individual Submissions,none,individ,0,1,
draft-shin-sfc-control-plane-yang,1,Individual Submissions,none,individ,0,1,sfc
draft-shin-tls-augpake,1,Individual Submissions,none,individ,0,1,tls
draft-shin-v6ops-802-16-deployment-scenarios,1,Individual Submissions,none,individ,0,1,v6ops
draft-shin-v6ops-application-transition,1,Individual Submissions,none,individ,0,1,v6ops
draft-shin-virtualization-meta-arch,1,Individual Submissions,none,individ,0,1,
draft-shin-xcast-receiver-join,1,Individual Submissions,none,individ,0,1,
draft-shiomoto-ccamp-cplane-architecture,1,Individual Submissions,none,individ,0,1,ccamp
draft-shiomoto-ccamp-gmpls-addressing,1,Individual Submissions,none,individ,0,1,ccamp
draft-shiomoto-ccamp-gmpls-mrn-reqs,1,Individual Submissions,none,individ,0,1,ccamp
draft-shiomoto-ccamp-lsp-hierarchy-bis,1,Individual Submissions,none,individ,0,1,ccamp
draft-shiomoto-ccamp-misconnection-analysis,1,Individual Submissions,none,individ,0,1,ccamp
draft-shiomoto-ccamp-mpls-gmpls-interwork-fmwk,1,Individual Submissions,none,individ,0,1,ccamp;mpls
draft-shiomoto-ccamp-multiarea-te,1,Individual Submissions,none,individ,0,1,ccamp
