lineage_id,publication_outcome,lineage_revision_count,lineage_activity_duration_years,lineage_length,wg_assignment,wg_count,author_count,organisation_count,cross_organisation,affiliation_mapped_records,affiliation_unresolved_records
draft-aboulmagd-mpls-ldp-optical-uni,Unknown,0,,1,No recorded WG,0,4,0,False,0,4
draft-aboulmagd-srvc-def-crldp,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-aboulmagd-trtcm-inprofile,Successful,0,,1,No recorded WG,0,2,0,False,0,2
draft-abr-twitter-reply,Unsuccessful,1,0.0,1,No recorded WG,0,1,1,False,1,0
draft-abraitis-bgp-rfd-state-ec,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-abraitis-bgp-version-capability,Ongoing,19,6.2587268993839835,1,No recorded WG,0,1,0,False,0,1
draft-abraitis-extcommunity-paths,Ongoing,1,0.0,1,No recorded WG,0,2,1,False,1,1
draft-abraitis-idr-addpath-paths-limit,Ongoing,5,1.5742642026009583,1,No recorded WG,0,3,2,True,2,1
draft-abraitis-idr-maximum-paths-subcode,Ongoing,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-abraitis-idr-maximum-prefix-orf,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-absw-mpls-lsp-ping-mpls-tp-oam-conf,Unsuccessful,1,0.0,1,No recorded WG,0,4,2,True,3,1
draft-accilent-at-sign,Unsuccessful,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-acee-idr-lldp-peer-discovery,Ongoing,22,8.777549623545516,1,Recorded WG,1,5,2,True,2,3
draft-acee-lsr-isis-yang-augmentation-v1,Ongoing,17,5.924709103353867,2,Recorded WG,1,3,2,True,5,1
draft-acee-lsr-ospf-admin-tags,Successful,38,6.579055441478439,2,Recorded WG,1,3,2,True,4,1
draft-acee-lsr-ospf-transport-instance,Ongoing,27,17.234770704996578,3,Recorded WG,2,4,3,True,8,3
draft-acee-lsr-ospf-yang-augmentation-v1,Ongoing,21,6.507871321013004,2,Recorded WG,1,2,2,True,3,1
draft-acee-lsr-ospfv3-extended-lsa-yang,Successful,37,5.601642710472279,2,Recorded WG,1,3,3,True,5,1
draft-acee-lsr-ospfv3-sr-yang,Ongoing,9,3.189596167008898,1,No recorded WG,0,2,2,True,2,0
draft-acee-mip4-bulk-revocation,Unsuccessful,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-acee-netmod-rfc8022bis,Successful,19,0.4134154688569473,2,Recorded WG,1,3,3,True,4,2
draft-acee-ospf-admin-tags,Unsuccessful,7,6.05886379192334,1,No recorded WG,0,2,1,False,2,0
draft-acee-ospf-bgp-rr,Unsuccessful,2,0.487337440109514,1,No recorded WG,0,4,1,False,1,3
draft-acee-ospf-geo-location,Unsuccessful,6,1.68104038329911,1,No recorded WG,0,3,1,False,3,0
