rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,latest_rev,document_time,first_posted_submission,first_document_event,candidate_first_date,date_source,publication_year
/api/v1/doc/document/rfc3831/,3831,rfc3831,Transmission of IPv6 Packets over Fibre Channel,2004-07-24 00:45:39+00:00,/api/v1/doc/document/draft-ietf-imss-ipv6-over-fibre-channel/,/api/v1/doc/document/draft-ietf-imss-ipv6-over-fibre-channel/,0,draft-ietf-imss-ipv6-over-fibre-channel,02,2015-10-14 20:50:37+00:00,,2003-10-21 07:00:00+00:00,2003-10-21 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3848/,3848,rfc3848,ESMTP and LMTP Transmission Types Registration,2004-07-24 00:49:09+00:00,/api/v1/doc/document/draft-newman-esmtpsa/,/api/v1/doc/document/draft-newman-esmtpsa/,0,draft-newman-esmtpsa,01,2015-10-14 20:50:49+00:00,,2003-07-25 07:00:00+00:00,2003-07-25 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3849/,3849,rfc3849,IPv6 Address Prefix Reserved for Documentation,2004-07-29 00:22:57+00:00,/api/v1/doc/document/draft-huston-ipv6-documentation-prefix/,/api/v1/doc/document/draft-huston-ipv6-documentation-prefix/,0,draft-huston-ipv6-documentation-prefix,03,2013-03-02 16:58:06+00:00,,2003-02-14 08:00:00+00:00,2003-02-14 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3854/,3854,rfc3854,Securing X.400 Content with Secure/Multipurpose Internet Mail Extensions (S/MIME),2004-07-29 00:23:57+00:00,/api/v1/doc/document/draft-ietf-smime-x400wrap/,/api/v1/doc/document/draft-ietf-smime-x400wrap/,0,draft-ietf-smime-x400wrap,09,2013-03-02 16:58:06+00:00,,2000-11-03 08:00:00+00:00,2000-11-03 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3855/,3855,rfc3855,Transporting Secure/Multipurpose Internet Mail Extensions (S/MIME) Objects in X.400,2004-07-29 00:27:04+00:00,/api/v1/doc/document/draft-ietf-smime-x400transport/,/api/v1/doc/document/draft-ietf-smime-x400transport/,0,draft-ietf-smime-x400transport,09,2021-01-29 08:26:55+00:00,,2000-11-03 08:00:00+00:00,2000-11-03 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3832/,3832,rfc3832,Remote Service Discovery in the Service Location Protocol (SLP) via DNS SRV,2004-07-29 22:46:14+00:00,/api/v1/doc/document/draft-zhao-slp-remote-da-discovery/,/api/v1/doc/document/draft-zhao-slp-remote-da-discovery/,0,draft-zhao-slp-remote-da-discovery,06,2015-10-14 20:50:17+00:00,,2001-07-17 07:00:00+00:00,2001-07-17 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3845/,3845,rfc3845,DNS Security (DNSSEC) NextSECure (NSEC) RDATA Format,2004-08-18 00:19:12+00:00,/api/v1/doc/document/draft-ietf-dnsext-nsec-rdata/,/api/v1/doc/document/draft-ietf-dnsext-nsec-rdata/,0,draft-ietf-dnsext-nsec-rdata,06,2015-10-14 20:50:56+00:00,,2003-12-01 08:00:00+00:00,2003-12-01 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3860/,3860,rfc3860,Common Profile for Instant Messaging (CPIM),2004-08-18 00:22:29+00:00,/api/v1/doc/document/draft-ietf-impp-im/,/api/v1/doc/document/draft-ietf-impp-im/,0,draft-ietf-impp-im,04,2015-10-14 20:50:39+00:00,,2002-10-29 08:00:00+00:00,2002-10-29 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3859/,3859,rfc3859,Common Profile for Presence (CPP),2004-08-18 00:22:32+00:00,/api/v1/doc/document/draft-ietf-impp-pres/,/api/v1/doc/document/draft-ietf-impp-pres/,0,draft-ietf-impp-pres,04,2017-03-08 08:09:40+00:00,,2002-10-29 08:00:00+00:00,2002-10-29 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3861/,3861,rfc3861,Address Resolution for Instant Messaging and Presence,2004-08-18 00:24:25+00:00,/api/v1/doc/document/draft-ietf-impp-srv/,/api/v1/doc/document/draft-ietf-impp-srv/,0,draft-ietf-impp-srv,04,2015-10-14 20:50:38+00:00,,2002-10-29 08:00:00+00:00,2002-10-29 08:00:00+00:00,docevent,2004
