rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,draft_name,lineage_depth,rev,submission_date,state,publication_year
/api/v1/doc/document/rfc5228/,5228,rfc5228,Sieve: An Email Filtering Language,2008-01-16 19:51:17+00:00,/api/v1/doc/document/draft-ietf-sieve-3028bis/,/api/v1/doc/document/draft-ietf-sieve-3028bis/,draft-ietf-sieve-3028bis,0,13,2007-10-07,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5097/,5097,rfc5097,MIB for the UDP-Lite protocol,2008-01-26 00:35:21+00:00,/api/v1/doc/document/draft-ietf-tsvwg-udplite-mib/,/api/v1/doc/document/draft-ietf-tsvwg-udplite-mib/,draft-ietf-tsvwg-udplite-mib,0,02,2007-10-11,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5097/,5097,rfc5097,MIB for the UDP-Lite protocol,2008-01-26 00:35:21+00:00,/api/v1/doc/document/draft-ietf-tsvwg-udplite-mib/,/api/v1/doc/document/draft-ietf-tsvwg-udplite-mib/,draft-ietf-tsvwg-udplite-mib,0,03,2007-10-29,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5114/,5114,rfc5114,Additional Diffie-Hellman Groups for Use with IETF Standards,2008-01-26 00:35:40+00:00,/api/v1/doc/document/draft-lepinski-dh-groups/,/api/v1/doc/document/draft-lepinski-dh-groups/,draft-lepinski-dh-groups,0,02,2007-11-05,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5114/,5114,rfc5114,Additional Diffie-Hellman Groups for Use with IETF Standards,2008-01-26 00:35:40+00:00,/api/v1/doc/document/draft-lepinski-dh-groups/,/api/v1/doc/document/draft-lepinski-dh-groups/,draft-lepinski-dh-groups,0,03,2007-11-06,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5129/,5129,rfc5129,Explicit Congestion Marking in MPLS,2008-01-26 00:35:51+00:00,/api/v1/doc/document/draft-ietf-tsvwg-ecn-mpls/,/api/v1/doc/document/draft-ietf-tsvwg-ecn-mpls/,draft-ietf-tsvwg-ecn-mpls,0,02,2007-10-04,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5113/,5113,rfc5113,Network Discovery and Selection Problem,2008-01-26 00:36:04+00:00,/api/v1/doc/document/draft-ietf-eap-netsel-problem/,/api/v1/doc/document/draft-ietf-eap-netsel-problem/,draft-ietf-eap-netsel-problem,0,09,2007-11-16,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5142/,5142,rfc5142,Mobility Header Home Agent Switch Message,2008-01-29 01:28:04+00:00,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,draft-ietf-mip6-ha-switch,0,04,2007-10-26,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5142/,5142,rfc5142,Mobility Header Home Agent Switch Message,2008-01-29 01:28:04+00:00,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,draft-ietf-mip6-ha-switch,0,05,2007-11-16,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5142/,5142,rfc5142,Mobility Header Home Agent Switch Message,2008-01-29 01:28:04+00:00,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,draft-ietf-mip6-ha-switch,0,06,2007-12-04,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5110/,5110,rfc5110,Overview of the Internet Multicast Routing Architecture,2008-02-01 00:32:23+00:00,/api/v1/doc/document/draft-ietf-mboned-routingarch/,/api/v1/doc/document/draft-ietf-mboned-routingarch/,draft-ietf-mboned-routingarch,0,08,2007-06-14,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5110/,5110,rfc5110,Overview of the Internet Multicast Routing Architecture,2008-02-01 00:32:23+00:00,/api/v1/doc/document/draft-ietf-mboned-routingarch/,/api/v1/doc/document/draft-ietf-mboned-routingarch/,draft-ietf-mboned-routingarch,0,09,2007-08-03,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5110/,5110,rfc5110,Overview of the Internet Multicast Routing Architecture,2008-02-01 00:32:23+00:00,/api/v1/doc/document/draft-ietf-mboned-routingarch/,/api/v1/doc/document/draft-ietf-mboned-routingarch/,draft-ietf-mboned-routingarch,0,10,2007-09-25,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5110/,5110,rfc5110,Overview of the Internet Multicast Routing Architecture,2008-02-01 00:32:23+00:00,/api/v1/doc/document/draft-ietf-mboned-routingarch/,/api/v1/doc/document/draft-ietf-mboned-routingarch/,draft-ietf-mboned-routingarch,0,11,2007-10-13,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5110/,5110,rfc5110,Overview of the Internet Multicast Routing Architecture,2008-02-01 00:32:23+00:00,/api/v1/doc/document/draft-ietf-mboned-routingarch/,/api/v1/doc/document/draft-ietf-mboned-routingarch/,draft-ietf-mboned-routingarch,0,12,2007-10-17,/api/v1/name/draftsubmissionstatename/posted/,2008
