resource_uri,rfc_number,rfc_name,title,pages,words,stream,group_uri,publication_time,group_acronym,group_name,group_type,parent_group_uri,parent_acronym,parent_name,parent_type,publication_year,stream_slug,group_type_slug,parent_type_slug,raw_area,area_category
/api/v1/doc/document/rfc3881/,3881,rfc3881,Security Audit and Access Accountability Message XML Data Definitions for Healthcare Applications,47,9483.0,/api/v1/name/streamname/ise/,/api/v1/group/group/1008/,2004-10-01 20:12:28+00:00,gen,General Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ise,area,ietf,Other,Other
/api/v1/doc/document/rfc3915/,3915,rfc3915,Domain Registry Grace Period Mapping for the Extensible Provisioning Protocol (EPP),23,5406.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/934/,2004-10-01 20:14:27+00:00,app,Applications Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3916/,3916,rfc3916,Requirements for Pseudo-Wire Emulation Edge-to-Edge (PWE3),19,6384.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1538/,2004-10-01 20:15:03+00:00,pwe3,Pseudowire Emulation Edge to Edge,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1249/,rtg,Routing Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rtg,rtg
/api/v1/doc/document/rfc3882/,3882,rfc3882,Configuring BGP to Block Denial-of-Service Attacks,8,2913.0,/api/v1/name/streamname/ise/,/api/v1/group/group/1249/,2004-10-01 23:34:31+00:00,rtg,Routing Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ise,area,ietf,Other,Other
/api/v1/doc/document/rfc3894/,3894,rfc3894,Sieve Extension: Copying Without Side Effects,5,1209.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/934/,2004-10-04 23:59:47+00:00,app,Applications Area,/api/v1/name/grouptypename/area/,/api/v1/group/group/2/,iesg,Internet Engineering Steering Group,/api/v1/name/grouptypename/ietf/,2004,ietf,area,ietf,iesg,Other
/api/v1/doc/document/rfc3918/,3918,rfc3918,Methodology for IP Multicast Benchmarking,31,9097.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/945/,2004-10-05 00:01:19+00:00,bmwg,Benchmarking Methodology,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1193/,ops,Operations and Management Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,ops,ops
/api/v1/doc/document/rfc3920/,3920,rfc3920,Extensible Messaging and Presence Protocol (XMPP): Core,30,23489.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1569/,2004-10-05 00:03:29+00:00,xmpp-old,Extensible Messaging and Presence Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3921/,3921,rfc3921,Extensible Messaging and Presence Protocol (XMPP): Instant Messaging and Presence,107,24958.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1569/,2004-10-05 00:04:16+00:00,xmpp-old,Extensible Messaging and Presence Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3922/,3922,rfc3922,Mapping the Extensible Messaging and Presence Protocol (XMPP) to Common Presence and Instant Messaging (CPIM),34,9200.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1569/,2004-10-05 00:06:20+00:00,xmpp-old,Extensible Messaging and Presence Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3923/,3923,rfc3923,End-to-End Signing and Object Encryption for the Extensible Messaging and Presence Protocol (XMPP),27,5990.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1569/,2004-10-05 00:08:16+00:00,xmpp-old,Extensible Messaging and Presence Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
