rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,complete_revision_count,first_recorded_submission,last_recorded_submission,family_draft_count,maximum_lineage_depth,final_draft_revision_count,predecessor_revision_count,recorded_development_days
/api/v1/doc/document/rfc6721/,6721,rfc6721,"The Atom ""deleted-entry"" Element",2012-09-26 07:23:41+00:00,2012,/api/v1/doc/document/draft-snell-atompub-tombstones/,16,2008-01-02,2012-07-20,1,0,16,0,1729
/api/v1/doc/document/rfc6722/,6722,rfc6722,"Publishing the ""Tao of the IETF"" as a Web Page",2012-08-30 17:18:13+00:00,2012,/api/v1/doc/document/draft-hoffman-tao-as-web-page/,5,2012-06-09,2012-07-23,1,0,5,0,82
/api/v1/doc/document/rfc6723/,6723,rfc6723,Update of the Pseudowire Control-Word Negotiation Mechanism,2012-09-06 07:24:56+00:00,2012,/api/v1/doc/document/draft-ietf-pwe3-cbit-negotiation/,7,2010-10-14,2012-07-02,2,1,5,2,693
/api/v1/doc/document/rfc6724/,6724,rfc6724,Default Address Selection for Internet Protocol Version 6 (IPv6),2012-09-11 07:24:36+00:00,2012,/api/v1/doc/document/draft-ietf-6man-rfc3484bis/,15,2009-10-21,2012-06-26,3,2,7,8,1056
/api/v1/doc/document/rfc6725/,6725,rfc6725,DNS Security (DNSSEC) DNSKEY Algorithm IANA Registry Updates,2012-08-30 17:18:13+00:00,2012,/api/v1/doc/document/draft-ietf-dnsext-dnssec-registry-update/,6,2011-11-18,2012-08-03,2,1,5,1,286
/api/v1/doc/document/rfc6726/,6726,rfc6726,FLUTE - File Delivery over Unidirectional Transport,2012-11-07 08:22:52+00:00,2012,/api/v1/doc/document/draft-ietf-rmt-flute-revised/,10,2009-08-06,2012-06-27,1,0,10,0,1189
/api/v1/doc/document/rfc6727/,6727,rfc6727,Definitions of Managed Objects for Packet Sampling,2012-10-03 07:23:57+00:00,2012,/api/v1/doc/document/draft-ietf-ipfix-psamp-mib/,6,2010-07-27,2012-07-10,1,0,6,0,799
/api/v1/doc/document/rfc6728/,6728,rfc6728,Configuration Data Model for the IP Flow Information Export (IPFIX) and Packet Sampling (PSAMP) Protocols,2012-10-03 07:23:57+00:00,2012,/api/v1/doc/document/draft-ietf-ipfix-configuration-model/,11,2008-07-04,2012-06-13,1,0,11,0,1552
/api/v1/doc/document/rfc6729/,6729,rfc6729,Indicating Email Handling States in Trace Fields,2012-09-06 07:24:56+00:00,2012,/api/v1/doc/document/draft-ietf-appsawg-received-state/,7,2011-11-15,2012-06-23,2,1,4,3,296
/api/v1/doc/document/rfc6730/,6730,rfc6730,Requirements for IETF Nominations Committee Tools,2012-09-26 07:23:41+00:00,2012,/api/v1/doc/document/draft-krishnan-nomcom-tools/,3,2012-05-18,2012-07-24,1,0,3,0,131
/api/v1/doc/document/rfc6731/,6731,rfc6731,Improved Recursive DNS Server Selection for Multi-Interfaced Nodes,2012-12-19 08:24:21+00:00,2012,/api/v1/doc/document/draft-ietf-mif-dns-server-selection/,20,2009-02-19,2012-08-02,3,2,13,7,1399
/api/v1/doc/document/rfc6732/,6732,rfc6732,6to4 Provider Managed Tunnels,2012-09-30 07:23:09+00:00,2012,/api/v1/doc/document/draft-kuarsingh-v6ops-6to4-provider-managed-tunnel/,8,2010-09-22,2012-07-10,1,0,8,0,739
/api/v1/doc/document/rfc6733/,6733,rfc6733,Diameter Base Protocol,2012-10-26 07:23:08+00:00,2012,/api/v1/doc/document/draft-ietf-dime-rfc3588bis/,25,2007-11-16,2012-06-22,1,0,25,0,1806
/api/v1/doc/document/rfc6734/,6734,rfc6734,Diameter Attribute-Value Pairs for Cryptographic Key Transport,2012-10-26 07:23:09+00:00,2012,/api/v1/doc/document/draft-ietf-dime-local-keytran/,19,2009-05-19,2011-08-18,2,1,15,4,1256
/api/v1/doc/document/rfc6735/,6735,rfc6735,Diameter Priority Attribute-Value Pairs,2012-10-26 07:23:09+00:00,2012,/api/v1/doc/document/draft-ietf-dime-priority-avps/,1,2012-06-28,2012-06-28,2,1,1,0,120
/api/v1/doc/document/rfc6736/,6736,rfc6736,Diameter Network Address and Port Translation Control Application,2012-10-26 07:23:09+00:00,2012,/api/v1/doc/document/draft-ietf-dime-nat-control/,17,2009-03-03,2012-04-22,2,1,16,1,1333
/api/v1/doc/document/rfc6737/,6737,rfc6737,The Diameter Capabilities Update Application,2012-10-26 07:23:10+00:00,2012,/api/v1/doc/document/draft-ietf-dime-capablities-update/,10,2009-03-04,2010-10-24,2,1,8,2,1332
/api/v1/doc/document/rfc6738/,6738,rfc6738,Diameter IKEv2 SK: Using Shared Keys to Support Interaction between IKEv2 Servers and Diameter Servers,2012-10-26 07:23:10+00:00,2012,/api/v1/doc/document/draft-ietf-dime-ikev2-psk-diameter/,12,2010-01-04,2011-11-13,1,0,12,0,1026
/api/v1/doc/document/rfc6739/,6739,rfc6739,Synchronizing Service Boundaries and <mapping> Elements Based on the Location-to-Service Translation (LoST) Protocol,2012-10-25 07:23:28+00:00,2012,/api/v1/doc/document/draft-ietf-ecrit-lost-sync/,20,2008-02-25,2012-07-10,2,1,19,1,1704
/api/v1/doc/document/rfc6740/,6740,rfc6740,Identifier-Locator Network Protocol (ILNP) Architectural Description,2012-11-10 08:24:08+00:00,2012,/api/v1/doc/document/draft-irtf-rrg-ilnp-arch/,7,2012-01-09,2012-07-10,1,0,7,0,306
