rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,first_recorded_draft_date,family_draft_count,maximum_lineage_depth,days_to_publication
/api/v1/doc/document/rfc4648/,4648,rfc4648,"The Base16, Base32, and Base64 Data Encodings",2006-10-17 01:02:29+00:00,2006,/api/v1/doc/document/draft-josefsson-rfc3548bis/,2005-11-14 08:00:00+00:00,1,0,336
/api/v1/doc/document/rfc4649/,4649,rfc4649,Dynamic Host Configuration Protocol for IPv6 (DHCPv6) Relay Agent Remote-ID Option,2006-08-18 00:55:08+00:00,2006,/api/v1/doc/document/draft-ietf-dhc-dhcpv6-remoteid/,2005-04-07 07:00:00+00:00,1,0,497
/api/v1/doc/document/rfc4650/,4650,rfc4650,HMAC-Authenticated Diffie-Hellman for Multimedia Internet KEYing (MIKEY),2006-09-30 21:25:53+00:00,2006,/api/v1/doc/document/draft-ietf-msec-mikey-dhhmac/,2002-02-25 08:00:00+00:00,2,1,1678
/api/v1/doc/document/rfc4652/,4652,rfc4652,Evaluation of Existing Routing Protocols against Automatic Switched Optical Network (ASON) Routing Requirements,2006-10-31 23:38:17+00:00,2006,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ason-routing-eval/,2005-01-24 08:00:00+00:00,2,1,645
/api/v1/doc/document/rfc4653/,4653,rfc4653,Improving the Robustness of TCP to Non-Congestion Events,2006-08-31 18:04:23+00:00,2006,/api/v1/doc/document/draft-ietf-tcpm-tcp-dcr/,2004-04-15 07:00:00+00:00,1,0,868
/api/v1/doc/document/rfc4654/,4654,rfc4654,TCP-Friendly Multicast Congestion Control (TFMCC): Protocol Specification,2006-08-23 18:11:38+00:00,2006,/api/v1/doc/document/draft-ietf-rmt-bb-tfmcc/,2001-11-19 08:00:00+00:00,1,0,1738
/api/v1/doc/document/rfc4655/,4655,rfc4655,A Path Computation Element (PCE)-Based Architecture,2006-08-23 18:11:28+00:00,2006,/api/v1/doc/document/draft-ietf-pce-architecture/,2004-09-24 07:00:00+00:00,2,1,698
/api/v1/doc/document/rfc4656/,4656,rfc4656,A One-way Active Measurement Protocol (OWAMP),2006-09-20 23:42:56+00:00,2006,/api/v1/doc/document/draft-ietf-ippm-owdp/,2000-11-22 08:00:00+00:00,1,0,2128
/api/v1/doc/document/rfc4657/,4657,rfc4657,Path Computation Element (PCE) Communication Protocol Generic Requirements,2006-09-22 21:48:53+00:00,2006,/api/v1/doc/document/draft-ietf-pce-comm-protocol-gen-reqs/,2005-04-11 07:00:00+00:00,2,1,529
/api/v1/doc/document/rfc4659/,4659,rfc4659,BGP-MPLS IP Virtual Private Network (VPN) Extension for IPv6 VPN,2006-09-22 21:49:08+00:00,2006,/api/v1/doc/document/draft-ietf-l3vpn-bgp-ipv6/,2002-04-27 21:27:27+00:00,1,0,1609
