rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,publication_year
/api/v1/doc/document/rfc5104/,5104,rfc5104,Codec Control Messages in the RTP Audio-Visual Profile with Feedback (AVPF),2008-02-23 01:11:25+00:00,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,0,draft-ietf-avt-avpf-ccm,2008
/api/v1/doc/document/rfc5104/,5104,rfc5104,Codec Control Messages in the RTP Audio-Visual Profile with Feedback (AVPF),2008-02-23 01:11:25+00:00,/api/v1/doc/document/draft-ietf-avt-avpf-ccm/,/api/v1/doc/document/draft-wenger-avt-avpf-ccm/,1,draft-wenger-avt-avpf-ccm,2008
/api/v1/doc/document/rfc5127/,5127,rfc5127,Aggregation of Diffserv Service Classes,2008-02-23 01:11:38+00:00,/api/v1/doc/document/draft-ietf-tsvwg-diffserv-class-aggr/,/api/v1/doc/document/draft-ietf-tsvwg-diffserv-class-aggr/,0,draft-ietf-tsvwg-diffserv-class-aggr,2008
/api/v1/doc/document/rfc5127/,5127,rfc5127,Aggregation of Diffserv Service Classes,2008-02-23 01:11:38+00:00,/api/v1/doc/document/draft-ietf-tsvwg-diffserv-class-aggr/,/api/v1/doc/document/draft-chan-tsvwg-diffserv-class-aggr/,1,draft-chan-tsvwg-diffserv-class-aggr,2008
/api/v1/doc/document/rfc5137/,5137,rfc5137,ASCII Escaping of Unicode Characters,2008-02-23 01:13:06+00:00,/api/v1/doc/document/draft-klensin-unicode-escapes/,/api/v1/doc/document/draft-klensin-unicode-escapes/,0,draft-klensin-unicode-escapes,2008
/api/v1/doc/document/rfc5139/,5139,rfc5139,Revised Civic Location Format for Presence Information Data Format Location Object (PIDF-LO),2008-02-23 01:13:57+00:00,/api/v1/doc/document/draft-ietf-geopriv-revised-civic-lo/,/api/v1/doc/document/draft-ietf-geopriv-revised-civic-lo/,0,draft-ietf-geopriv-revised-civic-lo,2008
/api/v1/doc/document/rfc5148/,5148,rfc5148,Jitter Considerations in Mobile Ad Hoc Networks (MANETs),2008-02-27 19:39:22+00:00,/api/v1/doc/document/draft-ietf-manet-jitter/,/api/v1/doc/document/draft-ietf-manet-jitter/,0,draft-ietf-manet-jitter,2008
/api/v1/doc/document/rfc5148/,5148,rfc5148,Jitter Considerations in Mobile Ad Hoc Networks (MANETs),2008-02-27 19:39:22+00:00,/api/v1/doc/document/draft-ietf-manet-jitter/,/api/v1/doc/document/draft-clausen-manet-jitter/,1,draft-clausen-manet-jitter,2008
/api/v1/doc/document/rfc5149/,5149,rfc5149,Service Selection for Mobile IPv6,2008-02-27 19:39:34+00:00,/api/v1/doc/document/draft-korhonen-mip6-service/,/api/v1/doc/document/draft-korhonen-mip6-service/,0,draft-korhonen-mip6-service,2008
/api/v1/doc/document/rfc5188/,5188,rfc5188,RTP Payload Format for the Enhanced Variable Rate Wideband Codec (EVRC-WB) and the Media Subtype Updates for EVRC-B Codec,2008-02-27 19:39:46+00:00,/api/v1/doc/document/draft-ietf-avt-rtp-evrc-wb/,/api/v1/doc/document/draft-ietf-avt-rtp-evrc-wb/,0,draft-ietf-avt-rtp-evrc-wb,2008
/api/v1/doc/document/rfc5188/,5188,rfc5188,RTP Payload Format for the Enhanced Variable Rate Wideband Codec (EVRC-WB) and the Media Subtype Updates for EVRC-B Codec,2008-02-27 19:39:46+00:00,/api/v1/doc/document/draft-ietf-avt-rtp-evrc-wb/,/api/v1/doc/document/draft-hdesinen-avt-rtp-evrc-wb/,1,draft-hdesinen-avt-rtp-evrc-wb,2008
/api/v1/doc/document/rfc5144/,5144,rfc5144,A Domain Availability Check (DCHK) Registry Type for the Internet Registry Information Service (IRIS),2008-02-29 00:31:38+00:00,/api/v1/doc/document/draft-ietf-crisp-iris-dchk/,/api/v1/doc/document/draft-ietf-crisp-iris-dchk/,0,draft-ietf-crisp-iris-dchk,2008
/api/v1/doc/document/rfc5152/,5152,rfc5152,A Per-Domain Path Computation Method for Establishing Inter-Domain Traffic Engineering (TE) Label Switched Paths (LSPs),2008-02-29 00:31:58+00:00,/api/v1/doc/document/draft-ietf-ccamp-inter-domain-pd-path-comp/,/api/v1/doc/document/draft-ietf-ccamp-inter-domain-pd-path-comp/,0,draft-ietf-ccamp-inter-domain-pd-path-comp,2008
/api/v1/doc/document/rfc5152/,5152,rfc5152,A Per-Domain Path Computation Method for Establishing Inter-Domain Traffic Engineering (TE) Label Switched Paths (LSPs),2008-02-29 00:31:58+00:00,/api/v1/doc/document/draft-ietf-ccamp-inter-domain-pd-path-comp/,/api/v1/doc/document/draft-vasseur-ccamp-inter-domain-path-comp/,1,draft-vasseur-ccamp-inter-domain-path-comp,2008
/api/v1/doc/document/rfc5152/,5152,rfc5152,A Per-Domain Path Computation Method for Establishing Inter-Domain Traffic Engineering (TE) Label Switched Paths (LSPs),2008-02-29 00:31:58+00:00,/api/v1/doc/document/draft-ietf-ccamp-inter-domain-pd-path-comp/,/api/v1/doc/document/draft-vasseur-ccamp-inter-domain-pd-path-comp/,1,draft-vasseur-ccamp-inter-domain-pd-path-comp,2008
/api/v1/doc/document/rfc5237/,5237,rfc5237,IANA Allocation Guidelines for the Protocol Field,2008-02-29 00:32:02+00:00,/api/v1/doc/document/draft-arkko-rfc2780-proto-update/,/api/v1/doc/document/draft-arkko-rfc2780-proto-update/,0,draft-arkko-rfc2780-proto-update,2008
/api/v1/doc/document/rfc5155/,5155,rfc5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-06 21:57:29+00:00,/api/v1/doc/document/draft-ietf-dnsext-nsec3/,/api/v1/doc/document/draft-ietf-dnsext-nsec3/,0,draft-ietf-dnsext-nsec3,2008
