rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,draft_uri,draft_name,draft_title,latest_rev,document_time,first_submission,chain_depth,selected_edge_score,is_final_draft
/api/v1/doc/document/rfc6859/,6859,rfc6859,Update to RFC 3777 to Clarify Nominating Committee Eligibility of IETF Leadership,2013-01-15 08:28:34+00:00,2013,/api/v1/doc/document/draft-leiba-3777upd-eligibility/,/api/v1/doc/document/draft-leiba-3777upd-eligibility/,draft-leiba-3777upd-eligibility,Update to RFC 3777 to Clarify Nominating Committee Eligibility of IETF Leadership,06,2015-10-14 20:52:45+00:00,2012-07-30 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6810/,6810,rfc6810,The Resource Public Key Infrastructure (RPKI) to Router Protocol,2013-01-18 08:25:56+00:00,2013,/api/v1/doc/document/draft-ietf-sidr-rpki-rtr/,/api/v1/doc/document/draft-ietf-sidr-rpki-rtr/,draft-ietf-sidr-rpki-rtr,The Resource Public Key Infrastructure (RPKI) to Router Protocol,26,2015-10-14 20:52:05+00:00,2010-08-11 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6810/,6810,rfc6810,The Resource Public Key Infrastructure (RPKI) to Router Protocol,2013-01-18 08:25:56+00:00,2013,/api/v1/doc/document/draft-ietf-sidr-rpki-rtr/,/api/v1/doc/document/draft-ymbk-rpki-rtr-protocol/,draft-ymbk-rpki-rtr-protocol,The RPKI/Router Protocol,06,2010-07-06 07:00:00+00:00,2009-03-02 00:00:00+00:00,1,0.7111627906976744,False
/api/v1/doc/document/rfc6811/,6811,rfc6811,BGP Prefix Origin Validation,2013-01-18 08:25:56+00:00,2013,/api/v1/doc/document/draft-ietf-sidr-pfx-validate/,/api/v1/doc/document/draft-ietf-sidr-pfx-validate/,draft-ietf-sidr-pfx-validate,BGP Prefix Origin Validation,10,2015-10-14 20:52:02+00:00,2010-07-28 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6811/,6811,rfc6811,BGP Prefix Origin Validation,2013-01-18 08:25:56+00:00,2013,/api/v1/doc/document/draft-ietf-sidr-pfx-validate/,/api/v1/doc/document/draft-pmohapat-sidr-pfx-validate/,draft-pmohapat-sidr-pfx-validate,BGP Prefix Origin Validation,07,2010-04-29 07:00:00+00:00,2008-10-27 00:00:00+00:00,1,0.956896551724138,False
/api/v1/doc/document/rfc6812/,6812,rfc6812,Cisco Service-Level Assurance Protocol,2013-01-18 08:25:57+00:00,2013,/api/v1/doc/document/draft-cisco-sla-protocol/,/api/v1/doc/document/draft-cisco-sla-protocol/,draft-cisco-sla-protocol,Cisco Service-Level Assurance Protocol,04,2015-10-14 20:52:37+00:00,2011-11-15 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6824/,6824,rfc6824,TCP Extensions for Multipath Operation with Multiple Addresses,2013-01-18 08:25:57+00:00,2013,/api/v1/doc/document/draft-ietf-mptcp-multiaddressed/,/api/v1/doc/document/draft-ietf-mptcp-multiaddressed/,draft-ietf-mptcp-multiaddressed,TCP Extensions for Multipath Operation with Multiple Addresses,12,2020-01-21 08:32:19+00:00,2010-06-21 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6824/,6824,rfc6824,TCP Extensions for Multipath Operation with Multiple Addresses,2013-01-18 08:25:57+00:00,2013,/api/v1/doc/document/draft-ietf-mptcp-multiaddressed/,/api/v1/doc/document/draft-ford-mptcp-multiaddressed/,draft-ford-mptcp-multiaddressed,TCP Extensions for Multipath Operation with Multiple Addresses,03,2010-08-25 07:00:00+00:00,2009-07-13 00:00:00+00:00,1,0.9558823529411765,False
/api/v1/doc/document/rfc6860/,6860,rfc6860,Hiding Transit-Only Networks in OSPF,2013-01-18 08:25:58+00:00,2013,/api/v1/doc/document/draft-ietf-ospf-prefix-hiding/,/api/v1/doc/document/draft-ietf-ospf-prefix-hiding/,draft-ietf-ospf-prefix-hiding,Hiding Transit-Only Networks in OSPF,07,2022-08-12 16:47:43+00:00,2011-06-01 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6860/,6860,rfc6860,Hiding Transit-Only Networks in OSPF,2013-01-18 08:25:58+00:00,2013,/api/v1/doc/document/draft-ietf-ospf-prefix-hiding/,/api/v1/doc/document/draft-yang-ospf-hiding/,draft-yang-ospf-hiding,Hiding Transit-only Networks in OSPF,01,2011-05-23 07:00:00+00:00,2010-10-11 00:00:00+00:00,1,0.9374999999999999,False
