rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,family_draft_count,maximum_lineage_depth,complete_revision_count,final_draft_revision_count,predecessor_draft_count,predecessor_revision_count
/api/v1/doc/document/rfc3475/,3475,rfc3475,Documentation of IANA assignments for Constraint-Based LSP setup using LDP (CR-LDP) Extensions for Automatic Switched Optical Network (ASON),2003-04-02 22:36:01+00:00,2003,/api/v1/doc/document/draft-aboulmagd-ccamp-crldp-ason-ext/,1,0,3,3,0,0
/api/v1/doc/document/rfc3476/,3476,rfc3476,"Documentation of IANA Assignments for Label Distribution Protocol (LDP), Resource ReSerVation Protocol (RSVP), and Resource ReSerVation Protocol-Traffic Engineering (RSVP-TE) Extensions for Optical UNI Signaling",2003-04-02 22:37:23+00:00,2003,/api/v1/doc/document/draft-bala-uni-ldp-rsvp-extensions/,1,0,5,5,0,0
/api/v1/doc/document/rfc3477/,3477,rfc3477,Signalling Unnumbered Links in Resource ReSerVation Protocol - Traffic Engineering (RSVP-TE),2003-02-14 00:16:02+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-rsvp-unnum/,1,0,9,9,0,0
/api/v1/doc/document/rfc3478/,3478,rfc3478,Graceful Restart Mechanism for Label Distribution Protocol,2003-02-19 22:37:19+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-ldp-restart/,1,0,7,7,0,0
/api/v1/doc/document/rfc3479/,3479,rfc3479,Fault Tolerance for the Label Distribution Protocol (LDP),2003-02-19 22:39:34+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-ldp-ft/,1,0,7,7,0,0
/api/v1/doc/document/rfc3480/,3480,rfc3480,Signalling Unnumbered Links in CR-LDP (Constraint-Routing Label Distribution Protocol),2003-02-25 23:19:50+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-crldp-unnum/,1,0,11,11,0,0
/api/v1/doc/document/rfc3481/,3481,rfc3481,TCP over Second (2.5G) and Third (3G) Generation Wireless Networks,2003-02-19 00:49:03+00:00,2003,/api/v1/doc/document/draft-ietf-pilc-2.5g3g/,1,0,13,13,0,0
/api/v1/doc/document/rfc3482/,3482,rfc3482,Number Portability in the Global Switched Telephone Network (GSTN): An Overview,2003-02-19 22:41:40+00:00,2003,/api/v1/doc/document/draft-ietf-enum-e164-gstn-np/,2,1,7,6,1,1
/api/v1/doc/document/rfc3483/,3483,rfc3483,Framework for Policy Usage Feedback for Common Open Policy Service with Policy Provisioning (COPS-PR),2003-03-28 01:19:02+00:00,2003,/api/v1/doc/document/draft-ietf-rap-feedback-frwk/,1,0,5,5,0,0
/api/v1/doc/document/rfc3484/,3484,rfc3484,Default Address Selection for Internet Protocol version 6 (IPv6),2003-03-04 23:40:20+00:00,2003,/api/v1/doc/document/draft-ietf-ipv6-default-addr-select/,1,0,9,9,0,0
/api/v1/doc/document/rfc3485/,3485,rfc3485,The Session Initiation Protocol (SIP) and Session Description Protocol (SDP) Static Dictionary for Signaling Compression (SigComp),2003-03-04 23:50:26+00:00,2003,/api/v1/doc/document/draft-ietf-sipping-sigcomp-sip-dictionary/,1,0,6,6,0,0
/api/v1/doc/document/rfc3486/,3486,rfc3486,Compressing the Session Initiation Protocol (SIP),2003-02-01 08:00:00+00:00,2003,/api/v1/doc/document/draft-ietf-sip-compression/,1,0,3,3,0,0
/api/v1/doc/document/rfc3487/,3487,rfc3487,Requirements for Resource Priority Mechanisms for the Session Initiation Protocol (SIP),2003-03-04 23:42:35+00:00,2003,/api/v1/doc/document/draft-ietf-ieprep-sip-reqs/,1,0,3,3,0,0
/api/v1/doc/document/rfc3488/,3488,rfc3488,Cisco Systems Router-port Group Management Protocol (RGMP),2003-03-04 23:44:35+00:00,2003,/api/v1/doc/document/draft-wu-rgmp/,1,0,4,4,0,0
/api/v1/doc/document/rfc3489/,3489,rfc3489,STUN - Simple Traversal of User Datagram Protocol (UDP) Through Network Address Translators (NATs),2003-03-21 00:51:59+00:00,2003,/api/v1/doc/document/draft-ietf-midcom-stun/,1,0,5,5,0,0
/api/v1/doc/document/rfc3490/,3490,rfc3490,Internationalizing Domain Names in Applications (IDNA),2003-03-08 00:55:58+00:00,2003,/api/v1/doc/document/draft-ietf-idn-idna/,1,0,14,14,0,0
/api/v1/doc/document/rfc3491/,3491,rfc3491,Nameprep: A Stringprep Profile for Internationalized Domain Names (IDN),2003-03-08 00:58:12+00:00,2003,/api/v1/doc/document/draft-ietf-idn-nameprep/,1,0,11,11,0,0
/api/v1/doc/document/rfc3492/,3492,rfc3492,Punycode: A Bootstring encoding of Unicode for Internationalized Domain Names in Applications (IDNA),2003-03-08 01:00:01+00:00,2003,/api/v1/doc/document/draft-ietf-idn-punycode/,1,0,3,3,0,0
/api/v1/doc/document/rfc3493/,3493,rfc3493,Basic Socket Interface Extensions for IPv6,2003-03-18 23:38:46+00:00,2003,/api/v1/doc/document/draft-ietf-ipngwg-rfc2553bis/,1,0,10,10,0,0
/api/v1/doc/document/rfc3494/,3494,rfc3494,Lightweight Directory Access Protocol version 2 (LDAPv2) to Historic Status,2003-03-05 23:40:51+00:00,2003,/api/v1/doc/document/draft-zeilenga-ldapv2/,1,0,5,5,0,0
