publication_year,publishing_unit_id,figure_area,rfc_count,group_acronym,group_name,stream_slug,group_type_slug
2002,wg:/api/v1/group/group/1223/,sec,4,pkix,Public-Key Infrastructure (X.509),ietf,wg
2002,wg:/api/v1/group/group/1258/,sec,7,smime,S/MIME Mail Security,ietf,wg
2002,wg:/api/v1/group/group/1326/,sec,1,tls,Transport Layer Security,ietf,wg
2002,wg:/api/v1/group/group/1442/,sec,1,xmldsig,XML Digital Signatures,ietf,wg
2002,wg:/api/v1/group/group/1148/,tsv,1,nat,Network Address Translators,ietf,wg
2002,wg:/api/v1/group/group/1381/,tsv,1,malloc,Multicast-Address Allocation,ietf,wg
2002,wg:/api/v1/group/group/1388/,tsv,6,diffserv,Differentiated Services,ietf,wg
2002,wg:/api/v1/group/group/1427/,tsv,2,pilc,Performance Implications of Link Characteristics,ietf,wg
2002,wg:/api/v1/group/group/1437/,tsv,5,rmt,Reliable Multicast Transport,ietf,wg
2002,wg:/api/v1/group/group/1471/,tsv,1,spirits,Service in the PSTN/IN Requesting InTernet Service,ietf,wg
2002,wg:/api/v1/group/group/1474/,tsv,5,rohc,Robust Header Compression,ietf,wg
2002,wg:/api/v1/group/group/1485/,tsv,1,ips,IP Storage,ietf,wg
2002,wg:/api/v1/group/group/1499/,tsv,1,seamoby,"Context Transfer, Handoff Candidate Discovery, and Dormant Mode Host Alerting",ietf,wg
2002,wg:/api/v1/group/group/1504/,tsv,1,rserpool,Reliable Server Pooling,ietf,wg
2002,wg:/api/v1/group/group/1525/,tsv,2,midcom,Middlebox Communication,ietf,wg
2002,wg:/api/v1/group/group/1463/,wit,3,tsvwg,Transport and Services Working Group,ietf,wg
2003,stream:iab,Other,5,iab,Internet Architecture Board,iab,ietf
2003,stream:ietf-other,Other,34,int,Internet Area,ietf,area
2003,stream:ise,Other,30,none,Individual Submissions,ise,individ
2003,stream:legacy,Other,15,none,Individual Submissions,legacy,individ
2003,wg:/api/v1/group/group/1434/,Other,2,gsmp,General Switch Management Protocol,ietf,wg
2003,wg:/api/v1/group/group/1458/,Other,1,tewg,Internet Traffic Engineering,ietf,wg
2003,wg:/api/v1/group/group/1062/,app,1,ipp,Internet Printing Protocol,ietf,wg
2003,wg:/api/v1/group/group/1358/,app,1,webdav,WWW Distributed Authoring and Versioning,ietf,wg
2003,wg:/api/v1/group/group/1395/,app,4,trade,Internet Open Trading Protocol,ietf,wg
2003,wg:/api/v1/group/group/1451/,app,2,vpim,Voice Profile for Internet Mail,ietf,wg
2003,wg:/api/v1/group/group/1478/,app,3,idn,Internationalized Domain Name,ietf,wg
2003,wg:/api/v1/group/group/1519/,app,3,cdi,Content Distribution Internetworking,ietf,wg
2003,wg:/api/v1/group/group/1530/,app,1,apex,Application Exchange,ietf,wg
2003,wg:/api/v1/group/group/1138/,art,2,mmusic,Multiparty Multimedia Session Control,ietf,wg
2003,wg:/api/v1/group/group/1090/,int,2,mobileip,IP Routing for Wireless/Mobile Hosts,ietf,wg
2003,wg:/api/v1/group/group/1210/,int,1,pppext,Point-to-Point Protocol Extensions,ietf,wg
2003,wg:/api/v1/group/group/1479/,int,5,dnsext,DNS Extensions,ietf,wg
2003,wg:/api/v1/group/group/1544/,int,1,magma,Multicast & Anycast Group Membership,ietf,wg
2003,wg:/api/v1/group/group/1547/,int,7,ipv6,IP Version 6 Working Group,ietf,wg
2003,wg:/api/v1/group/group/988/,int,7,dhc,Dynamic Host Configuration,ietf,wg
2003,wg:/api/v1/group/group/1022/,ops,5,hubmib,Ethernet Interfaces and Hub MIB,ietf,wg
2003,wg:/api/v1/group/group/1061/,ops,5,rap,Resource Allocation Protocol,ietf,wg
2003,wg:/api/v1/group/group/1118/,ops,1,mboned,MBONE Deployment,ietf,wg
2003,wg:/api/v1/group/group/1237/,ops,1,rmonmib,Remote Network Monitoring,ietf,wg
2003,wg:/api/v1/group/group/1291/,ops,1,snmpv3,SNMP Version 3,ietf,wg
2003,wg:/api/v1/group/group/1396/,ops,1,adslmib,ADSL MIB,ietf,wg
2003,wg:/api/v1/group/group/1401/,ops,2,policy,Policy Framework,ietf,wg
2003,wg:/api/v1/group/group/1408/,ops,2,aaa,"Authentication, Authorization and Accounting",ietf,wg
2003,wg:/api/v1/group/group/1480/,ops,1,snmpconf,Configuration Management with SNMP,ietf,wg
