lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification,terminal_drafts,terminal_draft_count,terminal_state_slugs,terminal_state_names,terminal_resolution,provisional_outcome,provisional_outcome_reason,publication_outcome,outcome_reason,primary_comparison_sample,has_active_terminal,has_expired_terminal,has_rfc_terminal_state,has_other_terminal_state,multiple_terminal_drafts,estimated_expiry_date,likely_dead_date,post_expiry_inactivity_days,rq2b_group
lineage_006861,draft-eggert-tsvwg-rfc5405bis;draft-ietf-tsvwg-rfc5405bis;draft-tsvwg-rfc5405bis,3,23,2014-06-14,2016-10-14,853.0,2.3353867214236823,1,1,RFC8085,draft-ietf-tsvwg-rfc5405bis-19,draft-ietf-tsvwg-rfc5405bis,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8085,draft-ietf-tsvwg-rfc5405bis-19,Individual Submissions;Transport and Services Working Group,tsvwg,1,1,1,draft-tsvwg-rfc5405bis,,2014-12-09,2014-06-14,tsvwg,0,,,0,,Recorded WG,draft-ietf-tsvwg-rfc5405bis,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2017-04-14,2018-10-14,3340,Excluded ambiguous chronology
lineage_007444,draft-farrresnickel-rfc7776bis;draft-ietf-iasa2-rfc7776bis,2,5,2018-09-25,2019-09-14,354.0,0.9691991786447639,1,1,RFC8716,draft-ietf-iasa2-rfc7776bis-03,draft-ietf-iasa2-rfc7776bis,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8716,draft-ietf-iasa2-rfc7776bis-03,IETF Administrative Support Activity 2;Individual Submissions,iasa2,1,1,1,draft-farrresnickel-rfc7776bis,,2018-09-25,2018-09-25,iasa2,0,,,0,,Recorded WG,draft-ietf-iasa2-rfc7776bis,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2020-03-14,2021-09-14,2275,Excluded ambiguous chronology
lineage_007653,draft-fitzgeraldmckay-sacm-endpointcompliance;draft-ietf-sacm-fitzgeraldmckay-endpointcompliance,2,3,2015-05-04,2015-11-17,197.0,0.5393566050650239,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions;Security Automation and Continuous Monitoring,sacm,1,1,1,draft-fitzgeraldmckay-sacm-endpointcompliance,,2015-05-06,2015-05-04,sacm,0,,,0,,Recorded WG,draft-fitzgeraldmckay-sacm-endpointcompliance,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2016-05-17,2017-11-17,3672,Excluded ambiguous chronology
lineage_007723,draft-fm-bess-service-chaining;draft-ietf-bess-service-chaining;draft-mackie-sfc-using-virtual-networking;draft-rfernando-bess-service-chaining;draft-rfernando-l3vpn-service-chaining,5,20,2013-02-18,2018-12-04,2115.0,5.790554414784395,0,0,,,,0,Not published,No mapped published RFC,,,BGP Enabled ServiceS;Individual Submissions;Layer 3 Virtual Private Networks,bess;l3vpn,2,1,1,draft-mackie-sfc-using-virtual-networking;draft-rfernando-bess-service-chaining,,2014-10-02,2013-02-18,l3vpn,0,,,0,,Recorded WG,draft-ietf-bess-service-chaining,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2019-06-04,2020-12-04,2559,Excluded ambiguous chronology
lineage_007843,draft-francois-spring-resiliency-use-case;draft-francois-sr-resiliency-use-case;draft-ietf-spring-resiliency-use-cases,3,17,2014-01-31,2017-12-19,1418.0,3.8822724161533197,1,1,RFC8355,draft-ietf-spring-resiliency-use-cases-12,draft-ietf-spring-resiliency-use-cases,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8355,draft-ietf-spring-resiliency-use-cases-12,Individual Submissions;Source Packet Routing in Networking,spring,1,1,1,draft-francois-sr-resiliency-use-case,,2014-01-31,2014-01-31,spring,0,,,0,,Recorded WG,draft-ietf-spring-resiliency-use-cases,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2018-06-19,2019-12-19,2909,Excluded ambiguous chronology
lineage_008659,draft-gont-dhc-stable-privacy-addresses;draft-gont-dhcpv6-stable-privacy-addresses;draft-ietf-dhc-stable-privacy-addresses,3,8,2014-09-05,2016-06-28,662.0,1.8124572210814511,1,1,RFC7943,draft-gont-dhcpv6-stable-privacy-addresses-02,draft-gont-dhcpv6-stable-privacy-addresses,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC7943,draft-gont-dhcpv6-stable-privacy-addresses-02,Dynamic Host Configuration;Individual Submissions,dhc,1,1,1,draft-gont-dhcpv6-stable-privacy-addresses,,2015-09-09,2014-09-05,dhc,0,,,0,,Recorded WG,draft-gont-dhcpv6-stable-privacy-addresses,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2016-12-28,2018-06-28,3447,Excluded ambiguous chronology
lineage_008786,draft-graff-dnsext-edns0bis;draft-ietf-dnsext-rfc2671bis-edns0,2,12,2007-12-27,2012-12-31,1831.0,5.0130047912388775,1,1,RFC6891,draft-ietf-dnsext-rfc2671bis-edns0-10,draft-ietf-dnsext-rfc2671bis-edns0,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC6891,draft-ietf-dnsext-rfc2671bis-edns0-10,DNS Extensions;Individual Submissions,dnsext,1,1,1,draft-graff-dnsext-edns0bis,,2009-07-13,2007-12-27,dnsext,0,,,0,,Recorded WG,draft-ietf-dnsext-rfc2671bis-edns0,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2013-06-30,2014-12-30,4724,Excluded ambiguous chronology
lineage_010334,draft-hilt-soc-overload-design;draft-ietf-sipping-overload-design;draft-ietf-soc-overload-design,3,13,2008-10-23,2011-07-11,991.0,2.7132101300479126,1,1,RFC6357,draft-ietf-soc-overload-design-08,draft-ietf-soc-overload-design,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC6357,draft-ietf-soc-overload-design-08,IPv6 over Low power WPAN;Individual Submissions;SIP Overload Control,6lowpan;soc,2,1,1,draft-hilt-soc-overload-design,,2010-05-28,2008-10-23,6lowpan,0,,,0,,Recorded WG,draft-ietf-soc-overload-design,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2012-01-11,2013-07-11,5260,Excluded ambiguous chronology
lineage_010909,draft-httpauth-rest-auth;draft-ietf-httpauth-rest-auth,2,3,2013-08-14,2013-08-15,1.0,0.0027378507871321013,0,0,,,,0,Not published,No mapped published RFC,,,Hypertext Transfer Protocol Authentication;Individual Submissions,httpauth,1,1,1,draft-httpauth-rest-auth,,2013-08-14,2013-08-14,httpauth,0,,,0,,Recorded WG,draft-ietf-httpauth-rest-auth,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2014-02-15,2015-08-15,4494,Excluded ambiguous chronology
lineage_011161,draft-hunt-dnsop-aname;draft-ietf-dnsop-aname,2,6,2017-04-07,2019-07-08,822.0,2.2505133470225873,0,0,,,,0,Not published,No mapped published RFC,,,Domain Name System Operations;Individual Submissions,dnsop,1,1,1,draft-ietf-dnsop-aname,,2017-05-27,2017-04-07,dnsop,0,,,0,,Recorded WG,draft-ietf-dnsop-aname,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2020-01-08,2021-07-08,2341,Excluded ambiguous chronology
