lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification
lineage_008220,draft-garcia-sipping-file-sharing-framework,1,2,2007-06-08,2007-11-16,161.0,0.4407939767282683,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-file-sharing-framework,,2007-06-08,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008221,draft-garcia-sipping-file-transfer-mech,1,1,2006-02-27,2006-02-27,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-file-transfer-mech,,2006-02-27,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008222,draft-garcia-sipping-general-events,1,1,2007-05-14,2007-05-14,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-general-events,,2007-05-14,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008223,draft-garcia-sipping-message-exploder,1,1,2004-05-12,2004-05-12,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-message-exploder,,2004-05-12,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008224,draft-garcia-sipping-poc-isb-am,1,5,2004-10-19,2005-09-27,343.0,0.9390828199863107,1,1,RFC4354,draft-garcia-sipping-poc-isb-am-04,draft-garcia-sipping-poc-isb-am,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC4354,draft-garcia-sipping-poc-isb-am-04,Transport Area,,0,0,0,,draft-garcia-sipping-poc-isb-am,,,,0,,sipping,1,Single candidate,No recorded WG
lineage_008225,draft-garcia-sipping-resource-desc-pidf,1,1,2006-12-20,2006-12-20,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-resource-desc-pidf,,2006-12-20,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008226,draft-garcia-sipping-resource-event-package,1,2,2006-06-14,2006-12-20,189.0,0.5174537987679672,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-resource-event-package,,2006-06-14,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008227,draft-garcia-sipping-resource-sharing-framework,1,2,2006-06-14,2006-12-20,189.0,0.5174537987679672,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-resource-sharing-framework,,2006-06-14,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008228,draft-garcia-xcon-private-messaging-reqs,1,2,2005-03-28,2005-06-29,93.0,0.2546201232032854,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-xcon-private-messaging-reqs,,2005-03-28,,,0,,xcon,1,Single candidate,Individual / no recorded WG
lineage_008229,draft-garciamorchon-t2trg-automated-iot-security,1,2,2018-07-02,2018-10-19,109.0,0.29842573579739906,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garciamorchon-t2trg-automated-iot-security,,2018-07-02,,,0,,,0,None,Individual / no recorded WG
